"Status","Product code","Family","Barcode","CPNP number","Price","Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions","Materials/Ingredients","Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US","Stock","Images","Data updated","Stock updated","Price updated","Images updated","Available Quantity"
"Active","ACD-01DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Windermere","31.19","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/UrZDkJyxzPU4O1cLuLM35ED92WiD79aUgHiiROKRbh0/bG9jYWw6Ly9tZWRpYS9IUy9KRC82MFIzMEMxRzZNUjNKREhTL2UwMzE0NmNiLmpwZWc","2025-10-08 12:22:23+00","2025-10-08 12:22:23+00","","2025-08-04 23:44:52+00","14"
"Active","ACD-02DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Moroccan Roll","31.19","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/Owxa1wEzxaPfPcKn9bYhDye1LolebLTNO2rSyZJc1Mc/bG9jYWw6Ly9tZWRpYS8xUS9FRS82MFIzMEMxRzcwVjNFRTFRLzkyODM0YTQ0LmpwZWc","2025-10-27 13:33:55+00","2025-10-27 13:33:55+00","","2025-08-04 23:44:52+00","18"
"Active","ACD-23DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Clementine","31.19","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/nhE5LDUHzH68sq9i7RzJ8uy7r5wC1sDasnRrUQ8uzEk/bG9jYWw6Ly9tZWRpYS85SC9HQy82MFIzMEMxRzcwVjNHQzlIL2RkODg4MjhhLmpwZWc","2025-12-08 20:13:21+00","2025-12-08 06:52:16+00","","2025-08-04 23:44:52+00","11"
"Active","ACD-03DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Fell Berry","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/-VowKLrMoP-0edGu50RAYLAUNnffmfajkkJmE95wIKQ/bG9jYWw6Ly9tZWRpYS9TRy9KRC82MFIzMEMxRzZNUjNKRFNHL2JhNTNiZWJlLmpwZWc, https://media.aiku.io/eIn95IIlDh0A5d4oe4snx-XezgWef5ogmhFpd0bIz7g/bG9jYWw6Ly9tZWRpYS9TSi9KRC82MFIzMEMxRzZNUjNKRFNKL2QxYjllNWYyLmpwZWc, https://media.aiku.io/AT0c1S1l1dvxaJlU74TfgT3QaKXwF2BbVV_7oxwYBZk/bG9jYWw6Ly9tZWRpYS85Ry9FRS82MFIzMEMxRzcwVjNFRTlHL2FkMzEzYzYxLmpwZWc","2025-12-01 10:08:12+00","2025-12-01 10:08:12+00","","2025-08-04 23:43:28+00","9"
"Active","ACD-06DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Seasalt and Moss","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","OutofStock","https://media.aiku.io/usKqIkHEqXEKxqIxgTs1jYM3vdigNHoIreNDgt9xTw4/bG9jYWw6Ly9tZWRpYS85Sy9FRS82MFIzMEMxRzcwVjNFRTlLLzY5NWFiYmU4LmpwZWc","2025-12-09 02:58:13+00","2025-11-24 19:25:37+00","","2025-08-04 23:43:28+00",""
"Active","ACD-07DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Japanese Bloom","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Normal","https://media.aiku.io/XgW8wTa-Xb_6orfg5ODUdboED9AEKwEzISQiQ1PXFIY/bG9jYWw6Ly9tZWRpYS85UC9FRS82MFIzMEMxRzcwVjNFRTlQLzgxZGU0OTJjLmpwZWc","2025-12-08 20:13:21+00","2025-11-24 19:25:35+00","","2025-08-04 23:43:28+00","21"
"Active","ACD-18DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Pressed Peonie","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Normal","https://media.aiku.io/UozepD2YcHScK6AVgJXlAEx4oh2xnwGU0BfYfLw1pFY/bG9jYWw6Ly9tZWRpYS8xSC9KRS82MFIzMEMxRzZNUjNKRTFIL2EzMjcxMTg5LmpwZWc","2025-12-08 20:13:21+00","2025-10-08 12:22:18+00","","2025-08-04 23:43:28+00","21"
"Active","ACD-20DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - White Fig","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/2AEcCHUHxl-NTaWp6VJqxhxX3tm_sFyNomsZVKUysvk/bG9jYWw6Ly9tZWRpYS8xSi9KRS82MFIzMEMxRzZNUjNKRTFKLzlmOGJlODQ2LmpwZWc","2025-12-01 10:08:15+00","2025-12-01 10:08:15+00","","2025-08-04 23:43:28+00","8"
"Active","ACD-22DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Provence","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/NKDmpz8zrOjhPJDFc2pXKc7LKOkFWa4cEYzBoFxuH3U/bG9jYWw6Ly9tZWRpYS8xUS9KRS82MFIzMEMxRzZNUjNKRTFRLzZiMjk5MjgxLmpwZWc","2025-11-25 16:24:03+00","2025-11-04 12:22:33+00","","2025-08-04 23:43:28+00","6"
"Active","ACD-26DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Citrus","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Normal","https://media.aiku.io/3aSqn09BtfDytm2wE-6bZ825dP3Dt_Pfdq_YKqw4u-8/bG9jYWw6Ly9tZWRpYS8xUy9KRS82MFIzMEMxRzZNUjNKRTFTL2U2ZDY0YzQyLmpwZWc","2025-11-24 19:25:35+00","2025-11-24 19:25:35+00","","2025-08-04 23:43:28+00","21"
"Active","ACD-13DS","Reed Diffusers 140ml","","","17.07","1","Pack","17.07","Box of 140ml Reed Diffuser - Rhubarb Rhubarb","31.2","0.5","0.5","8x6x30 (cm)","Glass Bottle, Reeds, Fragrance","","","GBR","3307490090","6.5%","","Low","https://media.aiku.io/IXVNLrErx7l0zcQMR28XsOhpZpDiMt62PRBGJOZo1WA/bG9jYWw6Ly9tZWRpYS85SC82Qy82MFIzMEMxRzc0Uks2QzlILzI4YWYzMjNhLmpwZWc","2025-10-08 12:22:32+00","2025-10-08 12:22:32+00","","2025-08-04 23:43:28+00","11"
