Status,"Product code","Product user reference",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,SGHC-01,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574872,,1.26,1,pack,1.26,"Hallway - Warm Welcome",2.19,0.242,0.208,,"Hallway Simmering Granules - Warm Welcome","<p>These fine <strong>Simmering Granules Hallway - Warm Welcome</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Hallway - Warm Welcome are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/_kxgdSl-dgw-QEgnpOMjXNfhtZn56uYSCEfrjJgyfGg/bG9jYWw6Ly9tZWRpYS9TSC80Qy82MFIzMEMxRzY4Vks0Q1NILzRmZGJhZmNhLmpwZWc,"2025-12-09 01:40:09+00","2025-12-09 01:40:09+00",,"2025-09-11 06:19:34+00",512
Active,SGHC-02,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574889,,1.26,1,pack,1.26,"Hallway - Floral Greetings",2.19,0.242,0.208,,"Hallway Simmering Granules - Floral Greetings","<p>These fine <strong>Simmering Granules Hallway - Floral Greetings </strong>are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Hallway - Floral Greetings are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/q3yZNnuQPLsljAjGe1p08wM8Q5xhAcBisprUs3yhQoI/bG9jYWw6Ly9tZWRpYS9TSi80Qy82MFIzMEMxRzY4Vks0Q1NKLzBjNmQxMTdhLmpwZWc,"2025-11-17 17:05:31+00","2025-09-30 17:57:55+00",,"2025-09-11 06:19:35+00",319
Active,SGHC-03,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574896,,1.26,1,pack,1.26,"Hallway - Let Angels Pass",2.19,0.242,0.208,,"Hallway Simmering Granules - Let Angels Pass","<p>These fine <strong>Simmering Granules Hallway - Let Angels Pass</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Hallway - Let Angels Pass are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/bS9SieKzxgB4OfZd2rHdnk2jeDl2ov_uYA3uDR2Cw1E/bG9jYWw6Ly9tZWRpYS9ITS80Qy82MFIzMEMxRzY4Vks0Q0hNL2UxNDhjMWY4LmpwZWc,"2025-12-09 20:00:03+00","2025-12-09 01:40:07+00",,"2025-09-11 06:19:28+00",528
Active,SGHC-04,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574902,,1.26,1,pack,1.26,"Hallway - Peaceful Home",2.19,0.242,0.208,,"Hallway Simmering Granules - Peaceful Home","<p>These fine <strong>Simmering Granules Hallway - Peaceful Home</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Hallway - Peaceful Home are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/Q_nIYcHpWnpsbXxVrLv1WZ5yxeha1ap80n5E9wqqFA0/bG9jYWw6Ly9tZWRpYS8xSy80RC82MFIzMEMxRzY4Vks0RDFLL2NkOTdhODE5LmpwZWc,"2025-12-09 20:00:03+00","2025-12-09 01:40:06+00",,"2025-09-11 06:19:38+00",756
Discontinued,SGHC-05,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574919,,1.19,1,pack,1.19,"Living Room - Heart & Hearth",3.7,0.2,0.208,,,,,GBR,2501009900,"2.60 EUR/Tonne",,Discontinued,https://media.aiku.io/gKEZF0VGzYK4Exn38jf_iBVnxoynv08eZHIInfLyGaI/bG9jYWw6Ly9tZWRpYS8xSC8wQy82MFIzMEMxRzY0VkswQzFILzgxYTkxYWVjLmpwZWc,"2025-11-17 17:05:38+00",,,"2025-09-11 06:34:48+00",
Active,SGHC-06,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574926,,1.26,1,pack,1.26,"Living Room - Comfort Zone",2.19,0.242,0.208,,"Living Room Simmering Granules - Comfort Zone","<p>These fine <strong>Simmering Granules Living Room - Comfort Zone</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Living Room - Comfort Zone are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/7Zr1btlzTqWY7qCcqXfDcZvPCadkQzA0wWJmiL969H4/bG9jYWw6Ly9tZWRpYS8xSi8wQy82MFIzMEMxRzY0VkswQzFKLzQ5MzM0NTlhLmpwZWc,"2025-12-09 01:40:06+00","2025-12-09 01:40:06+00",,"2025-09-11 06:19:27+00",586
Active,SGHC-07,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574933,,1.26,1,pack,1.26,"Living Room - Kickback & Relax",2.19,0.242,0.208,,"Living Room Simmering Granules - Kickback","<p>These fine <strong>Simmering Granules Living Room - Kickback &amp; Relax</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Living Room - Kickback &amp; Relax are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/q3yZNnuQPLsljAjGe1p08wM8Q5xhAcBisprUs3yhQoI/bG9jYWw6Ly9tZWRpYS9TSi80Qy82MFIzMEMxRzY4Vks0Q1NKLzBjNmQxMTdhLmpwZWc,"2025-12-09 01:40:08+00","2025-12-09 01:40:08+00",,"2025-09-11 06:19:40+00",313
Active,SGHC-08,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574940,,1.26,1,pack,1.26,"Bedroom - Midnight Roses",2.19,0.242,0.208,,"Bedroom Simmering Granules - Midnight Roses","<p>These fine <strong>Simmering Granules Bedroom - Midnight Roses</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Bedroom - Midnight Roses are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/Bm-a5gYuisSa9qJrlT3w5WP8q7de1vOkCADr-jiZk1U/bG9jYWw6Ly9tZWRpYS85Sy8wQy82MFIzMEMxRzY0VkswQzlLL2ViMGI5ZmYyLmpwZWc,"2025-12-09 01:40:09+00","2025-12-09 01:40:09+00",,"2025-09-11 06:19:37+00",570
Active,SGHC-09,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574957,,1.26,1,pack,1.26,"Bedroom - Passion Boudoir",2.19,0.242,0.208,,"Bedroom Simmering Granules - Passion Boudoir","<p>These fine <strong>Simmering Granules Bedroom - Passion Boudoir</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Bedroom - Passion Boudoir are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/aJF1IcebuVL_oRt0_iDaN1gRNQTgFkRvJ6cCG5-nr5E/bG9jYWw6Ly9tZWRpYS9ITi80Qy82MFIzMEMxRzY4Vks0Q0hOL2Y4MDc3Y2QxLmpwZWc,"2025-12-08 14:15:35+00","2025-12-08 14:15:35+00",,"2025-09-11 06:19:30+00",437
Active,SGHC-10,,"Home Comforts Scented Salt Granules for Oil Burners",5055796574964,,1.26,1,pack,1.26,"Bathroom - Fresh Cotton",2.19,0.242,0.208,,"Bathroom Simmering Granules - Fresh Cotton","<p>These fine <strong>Simmering Granules Bathroom - Fresh Cotton</strong> are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.</p><p>You place them in the oil burner reservoir and require no water.</p>","These fine Simmering Granules Bathroom - Fresh Cotton are designed for specific places around your home. Ideal for Oil Burners, Scenting Letters, useful on ashtrays to combat tobacco smell, and for fragrancing and decorating plates. They have eye catching colours.Minimum net weight 200g per bag.You place them in the oil burner reservoir and require no water.",GBR,3307410000,6.0%,,Normal,https://media.aiku.io/2KCZSLpHk9-EBrMhHXHaqzIuWWQweZZXjfa3xMbwpWs/bG9jYWw6Ly9tZWRpYS85Ui9KRS82MFIzMEMxRzY0VjNKRTlSL2Q4OWI0YTk1LmpwZWc,"2025-12-09 20:00:03+00","2025-12-09 01:40:06+00",,"2025-09-11 06:19:31+00",582
