Status,"Product code","Product user reference",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,NSMed-03,,"Mediterranean Collection - Nomad Sari",5056368350733,,7.74,1,Piece,7.74,"Nomad Sari On the Med Collection - Pario - Turquoise & Gold Fish Design",15,0.11,0.11,"180x110 (cm)","Pure Cotton, Cotton","<p>Bring a breath of fresh ocean energy into your product range with the Turquoise &amp; Gold Fish Handpainted Pario from the Nomad Sari Collection &ndash; where artisan tradition meets coastal boho flair.</p><p>Hand-dyed, block printed, and handpainted by skilled Indian artisans, each pario features golden fish motifs on a rich turquoise backdrop. A truly unique piece that channels sun-soaked days, ocean breezes, and effortless summer style.</p><p>Product Features:</p><ul data-end=""1281"" data-start=""665""><li data-end=""790"" data-start=""665""><p>One-of-a-Kind Craftsmanship &ndash; Each pario is tie-dyed, block printed, and handpainted with shimmering gold fish details.</p></li><li data-end=""876"" data-start=""791""><p>Multi-Use Styling &ndash; Wear as a sarong, beach dress, wrap, scarf, or light throw.</p></li><li data-end=""1019"" data-start=""877""><p>Ethically Made &ndash; Created in collaboration with artisan families in India, supporting traditional techniques and fair working conditions.</p></li><li data-end=""1118"" data-start=""1020""><p>Large &amp; Versatile &ndash; Approx. 110 x 180 cm &ndash; ideal for all body types and styling preferences.</p></li><li data-end=""1281"" data-start=""1119""><p>Perfect for Resale &ndash; Supplied in assorted coastal-inspired designs. A great fit for boutiques, beachwear shops, wellness spaces, and slow fashion retailers.</p></li></ul><p>Why Choose the Nomad Sari Collection?</p><p>These parios combine sustainable craftsmanship with bold, free-spirited design. Perfect for customers who appreciate handmade pieces, ethical sourcing, and a story behind their style.</p><p>Dropshipping Ready
Fast shipping from UK &amp; EU warehouses.
Support fair trade. Share artisan-made fashion. Stand out with Nomad Sari.</p>","Bring a breath of fresh ocean energy into your product range with the Turquoise &amp; Gold Fish Handpainted Pario from the Nomad Sari Collection &ndash; where artisan tradition meets coastal boho flair.Hand-dyed, block printed, and handpainted by skilled Indian artisans, each pario features golden fish motifs on a rich turquoise backdrop. A truly unique piece that channels sun-soaked days, ocean breezes, and effortless summer style.Product Features:One-of-a-Kind Craftsmanship &ndash; Each pario is tie-dyed, block printed, and handpainted with shimmering gold fish details.Multi-Use Styling &ndash; Wear as a sarong, beach dress, wrap, scarf, or light throw.Ethically Made &ndash; Created in collaboration with artisan families in India, supporting traditional techniques and fair working conditions.Large &amp; Versatile &ndash; Approx. 110 x 180 cm &ndash; ideal for all body types and styling preferences.Perfect for Resale &ndash; Supplied in assorted coastal-inspired designs. A great fit for boutiques, beachwear shops, wellness spaces, and slow fashion retailers.Why Choose the Nomad Sari Collection?These parios combine sustainable craftsmanship with bold, free-spirited design. Perfect for customers who appreciate handmade pieces, ethical sourcing, and a story behind their style.Dropshipping Ready
Fast shipping from UK &amp; EU warehouses.
Support fair trade. Share artisan-made fashion. Stand out with Nomad Sari.",IND,6214900019,12.0%,,Normal,"https://media.aiku.io/auuht_s6p4IRUX3Y6Int-0e3XusO83MIZgU4oonaxwk/bG9jYWw6Ly9tZWRpYS85Uy9DRC82MFIzMEMxSDc0UzNDRDlTLzRmMjY0YjJlLmpwZWc, https://media.aiku.io/2GpUxVvzQIJtxnFz6fdMFxgha3baR-nGm5qfvcBYCjs/bG9jYWw6Ly9tZWRpYS8xSy82Qy82MFIzMEMxSDc0UzM2QzFLL2M2ZGViNjkwLnBuZw, https://media.aiku.io/ODhxiFJFcvAOh0kuubAdf1GTuLm0oCwRctYZi_-OqLw/bG9jYWw6Ly9tZWRpYS9TUi8wRC82MFIzMEMxSDc0VEswRFNSLzI2ZTYxNDNhLmpwZWc","2025-11-17 20:06:25+00","2025-11-10 08:19:08+00",,"2025-09-11 10:14:58+00",91
Active,NSMed-04,,"Mediterranean Collection - Nomad Sari",5056368350740,,7.74,1,Piece,7.74,"Nomad Sari On the Med Collection - Pario - White & Turquoise Gold Turtle Design",15,0.11,0.11,"180x110 (cm)","Pure Cotton, Cotton","<p>Add a splash of coastal charm and artisan soul to your store with the White &amp; Turquoise Gold Turtle Handpainted Pario from the Nomad Sari collection &ndash; where mindful fashion meets exotic design.</p><p>Each piece is hand-dyed, block printed, and delicately handpainted with golden turtle motifs, set against a serene blend of white and turquoise. Inspired by slow travel and ocean living, this pario is a wearable piece of art your customers will treasure.</p><p>Product Highlights:</p><ul data-end=""1311"" data-start=""731""><li data-end=""861"" data-start=""731""><p>Handmade Beauty &ndash; Tie-dyed, block printed, and handpainted with intricate gold turtle detailing. No two pieces are the same.</p></li><li data-end=""957"" data-start=""862""><p>Multiway Styling &ndash; Can be worn as a sarong, beach dress, wrap, scarf, or used as a throw.</p></li><li data-end=""1080"" data-start=""958""><p>Ethically Made &ndash; Crafted in small artisan workshops in India using traditional techniques and fair labour practices.</p></li><li data-end=""1182"" data-start=""1081""><p>Generous Size &ndash; Approx. 110 x 180 cm &ndash; versatile, inclusive, and flattering for all body types.</p></li><li data-end=""1311"" data-start=""1183""><p>Ideal for Resale &ndash; A standout piece for stores that focus on conscious fashion, travel-inspired style, or ethical gifting.</p></li></ul><p>Why Stock the Nomad Sari Collection?</p><p>Nomad Sari blends timeless craftsmanship with modern boho appeal. These turquoise turtle parios speak to customers who value authenticity, sustainability, and designs that tell a story.</p><p>Dropshipping Friendly
Fast dispatch from UK &amp; EU fulfilment centres.
Support artisan makers. Share handmade fashion. Stand out with Nomad Sari.</p>","Add a splash of coastal charm and artisan soul to your store with the White &amp; Turquoise Gold Turtle Handpainted Pario from the Nomad Sari collection &ndash; where mindful fashion meets exotic design.Each piece is hand-dyed, block printed, and delicately handpainted with golden turtle motifs, set against a serene blend of white and turquoise. Inspired by slow travel and ocean living, this pario is a wearable piece of art your customers will treasure.Product Highlights:Handmade Beauty &ndash; Tie-dyed, block printed, and handpainted with intricate gold turtle detailing. No two pieces are the same.Multiway Styling &ndash; Can be worn as a sarong, beach dress, wrap, scarf, or used as a throw.Ethically Made &ndash; Crafted in small artisan workshops in India using traditional techniques and fair labour practices.Generous Size &ndash; Approx. 110 x 180 cm &ndash; versatile, inclusive, and flattering for all body types.Ideal for Resale &ndash; A standout piece for stores that focus on conscious fashion, travel-inspired style, or ethical gifting.Why Stock the Nomad Sari Collection?Nomad Sari blends timeless craftsmanship with modern boho appeal. These turquoise turtle parios speak to customers who value authenticity, sustainability, and designs that tell a story.Dropshipping Friendly
Fast dispatch from UK &amp; EU fulfilment centres.
Support artisan makers. Share handmade fashion. Stand out with Nomad Sari.",IND,6214900019,12.0%,,Normal,"https://media.aiku.io/2EFry3cxOJitseLf9URPqJoHoHUT-2eulW2Jgcz1gho/bG9jYWw6Ly9tZWRpYS9IRy9DRC82MFIzMEMxSDc0UzNDREhHLzgwNjdhYWI3LmpwZWc, https://media.aiku.io/rkUp1OwmlAnoG6u6nrSM51kVbhWDi0ZRjIBXosHhz5w/bG9jYWw6Ly9tZWRpYS8xTi82Qy82MFIzMEMxSDc0UzM2QzFOLzJlNjQyMDVmLnBuZw","2025-11-17 20:06:27+00","2025-10-30 14:43:21+00",,"2025-09-11 10:15:00+00",93
Active,NSMed-06,,"Mediterranean Collection - Nomad Sari",5056368350764,,7.74,1,Piece,7.74,"Nomad Sari On the Med Collection - Pario - White , Blue & Gold Evil Eye Design",15,0.11,0.11,"180x110 (cm)","Pure Cotton, Cotton","<p>Add a touch of meaning and handmade elegance to your product range with the Evil Eye Handpainted Pario from the Nomad Sari collection. Featuring powerful symbolism and breezy boho flair, this piece blends tradition with trend.</p><p>Each pario is hand-dyed, block printed, and finished with shimmering golden evil eye motifs &ndash; a symbol of protection and positive energy. The crisp white fabric, accented with bold blue and gold, makes it perfect for spiritually-minded, style-conscious customers.</p><p>Product Highlights:</p><ul data-end=""1351"" data-start=""779""><li data-end=""904"" data-start=""779""><p>Artisan Detailing &ndash; Hand-dyed, block printed, and painted by hand with gold evil eye designs &ndash; no two pieces are alike.</p></li><li data-end=""990"" data-start=""905""><p>Versatile Style &ndash; Wear it as a sarong, scarf, dress, wrap, or decorative throw.</p></li><li data-end=""1122"" data-start=""991""><p>Ethically Made &ndash; Created by skilled artisans in family-run workshops across India &ndash; fair trade, traditional, and sustainable.</p></li><li data-end=""1216"" data-start=""1123""><p>Inclusive Sizing &ndash; Approx. 110 x 180 cm &ndash; perfect for all body types and styling needs.</p></li><li data-end=""1351"" data-start=""1217""><p>Retail-Ready &ndash; Supplied in assorted designs, ideal for spiritual boutiques, boho fashion stores, and wellness-focused retailers.</p></li></ul><p>Why Stock Nomad Sari?</p><p>Nomad Sari offers more than just fashion &ndash; it&rsquo;s wearable storytelling. The Evil Eye Pario is a customer favourite for those who love meaningful, ethical style.</p><p>Perfect for Dropshipping
Eco-friendly. Handcrafted. Fulfilled from the UK &amp; EU.</p>","Add a touch of meaning and handmade elegance to your product range with the Evil Eye Handpainted Pario from the Nomad Sari collection. Featuring powerful symbolism and breezy boho flair, this piece blends tradition with trend.Each pario is hand-dyed, block printed, and finished with shimmering golden evil eye motifs &ndash; a symbol of protection and positive energy. The crisp white fabric, accented with bold blue and gold, makes it perfect for spiritually-minded, style-conscious customers.Product Highlights:Artisan Detailing &ndash; Hand-dyed, block printed, and painted by hand with gold evil eye designs &ndash; no two pieces are alike.Versatile Style &ndash; Wear it as a sarong, scarf, dress, wrap, or decorative throw.Ethically Made &ndash; Created by skilled artisans in family-run workshops across India &ndash; fair trade, traditional, and sustainable.Inclusive Sizing &ndash; Approx. 110 x 180 cm &ndash; perfect for all body types and styling needs.Retail-Ready &ndash; Supplied in assorted designs, ideal for spiritual boutiques, boho fashion stores, and wellness-focused retailers.Why Stock Nomad Sari?Nomad Sari offers more than just fashion &ndash; it&rsquo;s wearable storytelling. The Evil Eye Pario is a customer favourite for those who love meaningful, ethical style.Perfect for Dropshipping
Eco-friendly. Handcrafted. Fulfilled from the UK &amp; EU.",IND,6214900019,12.0%,,Normal,"https://media.aiku.io/8o2RgHWY_-yS8lYEg_Bw9cPCfiSrDTucqR4XcKTOqi8/bG9jYWw6Ly9tZWRpYS8xRy8wRS82MFIzMEMxSDc0VEswRTFHLzIzYzQyN2FiLmpwZWc, https://media.aiku.io/_HR2zzK_kdRC9uTVpQUdNXl8htS1t_s2M6uAJp86xFM/bG9jYWw6Ly9tZWRpYS85Ry82Qy82MFIzMEMxSDc0UzM2QzlHLzdmYzljNmZlLnBuZw, https://media.aiku.io/zUKDAIv1Qxr6MG_FJMlUat8upFKvH_eGBWb-AvpQg2k/bG9jYWw6Ly9tZWRpYS9ISC9DRC82MFIzMEMxSDc0UzNDREhILzQ0Y2M1ZjBhLmpwZWc","2025-11-17 20:06:30+00","2025-09-03 16:20:25+00",,"2025-09-11 10:15:03+00",123
Active,NSMed-24,,"Mediterranean Collection - Nomad Sari",5056368350948,,19.43,1,Piece,19.43,"(LXL) Nomad Sari On the Med Collection - Dress -  White , Blue & Gold Evil Eye Design",38,0.11,0.11,,"Pure Cotton, Cotton",,,IND,6204420090,12.0%,,Normal,"https://media.aiku.io/Jn2gIrAeGw1PYwPDMmJo0tC6nE-DQhg5Fbxyk65iuv0/bG9jYWw6Ly9tZWRpYS85Ry9BRS82MFIzMEMxSDc0UzNBRTlHLzEwMDVlNzI5LmpwZWc, https://media.aiku.io/KnXpcpJRSkqEKuIv9qOE8nsvcSt0eagVxVXYNSFmw7w/bG9jYWw6Ly9tZWRpYS85SC9BRS82MFIzMEMxSDc0UzNBRTlIL2FjNjY2ZDhhLmpwZWc, https://media.aiku.io/Ke5UsBw4pm9iSHjmC-MAZopKPO0plw9CUe8x9T_QvOk/bG9jYWw6Ly9tZWRpYS8xTi8wRC82MFIzMEMxSDc0U0swRDFOLzY0ZjViMDFlLmpwZWc, https://media.aiku.io/2LZ-QjUaDIwWEb3SrtTsQnT9HoarRaUkFOXjYydBqsA/bG9jYWw6Ly9tZWRpYS8xUC8wRC82MFIzMEMxSDc0U0swRDFQLzc1NGIxY2RmLmpwZWc, https://media.aiku.io/UBznBIQ5P7pHDNmDPhAYVbkqpWQg1dkR2wQXOb7nHn4/bG9jYWw6Ly9tZWRpYS8xUS8wRC82MFIzMEMxSDc0U0swRDFRLzM2ODdhY2I4LmpwZWc, https://media.aiku.io/UPhPTztAcYCj7aoGV6ZoZMPO8UMfUsCkFzIPf6WjVE8/bG9jYWw6Ly9tZWRpYS8xUy9BRS82MFIzMEMxSDc0UzNBRTFTL2Y5ZjA3ODhiLmpwZWc","2025-11-17 20:06:54+00","2025-09-03 16:20:35+00",,"2025-09-11 10:15:43+00",71
Active,NSMed-22,,"Mediterranean Collection - Nomad Sari",5056368350924,,19.43,1,Piece,19.43,"(LXL) Nomad Sari On the Med Collection - Dress - Sea Blue & Gold Fish Design",38,0.11,0.11,,"Pure Cotton, Cotton",,,IND,6204420090,12.0%,,Normal,"https://media.aiku.io/f_8fHpSeqx1a_XMvTfAIKqu5V4iTjQKZnNwnn8eUCOw/bG9jYWw6Ly9tZWRpYS8xUi9BRS82MFIzMEMxSDc0UzNBRTFSLzEzZDc0YWMxLmpwZWc, https://media.aiku.io/0_cgw5-G6od7viqCyNec0-yVIzWfV6b411_QpNRYG48/bG9jYWw6Ly9tZWRpYS8xUC9BRS82MFIzMEMxSDc0UzNBRTFQLzMyYTdiYzI2LmpwZWc, https://media.aiku.io/xy_46z46IGWY0ubHkr7UOaRV7N_ube9oB7Mw0agThkk/bG9jYWw6Ly9tZWRpYS8xSy8wRC82MFIzMEMxSDc0U0swRDFLL2QxZTdlYzQyLmpwZWc, https://media.aiku.io/PSQmcawPp0wEB4LwgsRamy5S4sJN9jxXZ-iR9K63q0M/bG9jYWw6Ly9tZWRpYS8xTS8wRC82MFIzMEMxSDc0U0swRDFNL2NiNGNhNjY2LmpwZWc, https://media.aiku.io/PVzIy7aaJeN7cJGbsI527EWaz4_V3fkvcRePbhNdeUc/bG9jYWw6Ly9tZWRpYS8xUS9BRS82MFIzMEMxSDc0UzNBRTFRL2MxYWI3OTY1LmpwZWc","2025-12-01 11:31:12+00","2025-12-01 11:31:12+00",,"2025-09-11 10:15:38+00",58
Active,NSMed-20,,"Mediterranean Collection - Nomad Sari",5056368350900,,19.43,1,Piece,19.43,"(LXL) Nomad Sari On the Med Collection - Dress - Turquoise & Gold Coral Design",38,0.11,0.11,,"Pure Cotton, Cotton",,,IND,6204420090,12.0%,,Normal,"https://media.aiku.io/mAclHJTQoZJF-_6EoKYMLsieznYleWeHq2rY5nTqLPY/bG9jYWw6Ly9tZWRpYS8xTS9BRS82MFIzMEMxSDc0UzNBRTFNLzNmY2IyYjBkLmpwZWc, https://media.aiku.io/1SQXYd9F_mM6edwCVRAM4xj3QSEdVEoitK3K-MI_k-I/bG9jYWw6Ly9tZWRpYS8xSy9BRS82MFIzMEMxSDc0UzNBRTFLLzBhNjZhY2Y1LmpwZWc, https://media.aiku.io/HNxvFAUdl8WbgMLoqg6JxahUaOd_E8f3lFn6wfdQqmc/bG9jYWw6Ly9tZWRpYS9TUy8wQy82MFIzMEMxSDc0U0swQ1NTLzk4YTA0NjMwLmpwZWc, https://media.aiku.io/aLEV2BsUjT7T0m13_KqO0Cc5hhLh07M85iTsLtOlsQk/bG9jYWw6Ly9tZWRpYS8xSC8wRC82MFIzMEMxSDc0U0swRDFILzI4OTVlZmRjLmpwZWc, https://media.aiku.io/1nFKjFWnZ0y8MwLnMXc0LOQ34L6lEZ3mKeJtxxqZvWw/bG9jYWw6Ly9tZWRpYS8xSi8wRC82MFIzMEMxSDc0U0swRDFKLzEzZTkwMzBiLmpwZWc, https://media.aiku.io/HK9o-DQ74Syw50AQnXTYqAFwZb_zLv50thZuMn_w2E8/bG9jYWw6Ly9tZWRpYS8xSi9BRS82MFIzMEMxSDc0UzNBRTFKLzdmZDNjNzEyLmpwZWc","2025-12-01 11:31:09+00","2025-12-01 11:31:09+00",,"2025-09-11 10:15:34+00",50
Active,NSMed-14,,"Mediterranean Collection - Nomad Sari",5056368350849,,20.74,1,Piece,20.74,"(LXL) Nomad Sari On the Med Collection - Lounge Pants - Gold & Blue Greek Motiff - Handpainted",40,0.11,0.11,"107x40 (cm)","Pure Cotton, Cotton",,,IND,6203423500,12.0%,,Normal,"https://media.aiku.io/m2jCWqvdMRNxizsbkgxBNfBnLqhQocAaHCD7N9q3YUg/bG9jYWw6Ly9tZWRpYS85UC84RC82MFIzMEMxSDc0UzM4RDlQL2VhYTg2YjEyLmpwZWc, https://media.aiku.io/Epnf5-YFMIPhYQJOJGKfKqkfbvQmGgPXaodpTUUoltc/bG9jYWw6Ly9tZWRpYS85Uy84RC82MFIzMEMxSDc0UzM4RDlTLzhmM2ZhNDUzLmpwZWc, https://media.aiku.io/qO9AgbN_3mHvjIbCO6znn0Rm8NynhBY6PAdTdsg3mUA/bG9jYWw6Ly9tZWRpYS9IRy84RC82MFIzMEMxSDc0UzM4REhHLzZmOGVhMzZhLmpwZWc, https://media.aiku.io/kiAOCCHCG172rbfOx3wVvLPYcuWx7LQPJzo_jbgHlfs/bG9jYWw6Ly9tZWRpYS85US84RC82MFIzMEMxSDc0UzM4RDlRLzI0NDU0NDEwLmpwZWc, https://media.aiku.io/b6DcL97t_p9AH5ORuuDWE-RJddKPkSlQsHpirfKa8Ug/bG9jYWw6Ly9tZWRpYS85Ui84RC82MFIzMEMxSDc0UzM4RDlSLzkzZGFlNWRkLmpwZWc","2025-11-26 12:24:18+00","2025-11-26 12:24:18+00",,"2025-09-11 10:15:19+00",72
Active,NSMed-16,,"Mediterranean Collection - Nomad Sari",5056368350863,,20.74,1,Piece,20.74,"(LXL) Nomad Sari On the Med Collection - Lounge Pants - Rich Blue & Gold Hand Painted Evil Eye Design",40,0.11,0.11,"107x40 (cm)","Pure Cotton, Cotton",,,IND,6203423500,12.0%,,Normal,"https://media.aiku.io/hw0X4TeRYpohuG-nBtwkgq77_SPGIlAyUeHcx_-ZJ5o/bG9jYWw6Ly9tZWRpYS9ITS84RC82MFIzMEMxSDc0UzM4REhNL2ViODMxZDIwLmpwZWc, https://media.aiku.io/sIxltXYbSXxFLnxnNdXJnYIBPwPfVqe6AQT3WyiN5i4/bG9jYWw6Ly9tZWRpYS9ISi84RC82MFIzMEMxSDc0UzM4REhKL2VjOWRjMmI3LmpwZWc, https://media.aiku.io/geUQH39jYA-uAw8L__fKQclACbGQmoYcg38hHQD---U/bG9jYWw6Ly9tZWRpYS9ISy84RC82MFIzMEMxSDc0UzM4REhLLzdhN2UyMDVlLmpwZWc, https://media.aiku.io/hW7N_T9UdAU3uKifIb4odkFbu_wQC3GiNxU7pATebwM/bG9jYWw6Ly9tZWRpYS9ITi84RC82MFIzMEMxSDc0UzM4REhOL2NhZTE4Y2Q4LmpwZWc","2025-11-17 20:06:43+00",,,"2025-09-11 10:15:25+00",88
Active,NSMed-19,,"Mediterranean Collection - Nomad Sari",5056368350894,,19.43,1,Piece,19.43,"(ML) Nomad Sari On the Med Collection - Dress - Turquoise & Gold Coral Design",38,0.11,0.11,,"Pure Cotton, Cotton",,,IND,6204420090,12.0%,,Normal,"https://media.aiku.io/HNxvFAUdl8WbgMLoqg6JxahUaOd_E8f3lFn6wfdQqmc/bG9jYWw6Ly9tZWRpYS9TUy8wQy82MFIzMEMxSDc0U0swQ1NTLzk4YTA0NjMwLmpwZWc, https://media.aiku.io/mAclHJTQoZJF-_6EoKYMLsieznYleWeHq2rY5nTqLPY/bG9jYWw6Ly9tZWRpYS8xTS9BRS82MFIzMEMxSDc0UzNBRTFNLzNmY2IyYjBkLmpwZWc, https://media.aiku.io/1SQXYd9F_mM6edwCVRAM4xj3QSEdVEoitK3K-MI_k-I/bG9jYWw6Ly9tZWRpYS8xSy9BRS82MFIzMEMxSDc0UzNBRTFLLzBhNjZhY2Y1LmpwZWc, https://media.aiku.io/aLEV2BsUjT7T0m13_KqO0Cc5hhLh07M85iTsLtOlsQk/bG9jYWw6Ly9tZWRpYS8xSC8wRC82MFIzMEMxSDc0U0swRDFILzI4OTVlZmRjLmpwZWc, https://media.aiku.io/1nFKjFWnZ0y8MwLnMXc0LOQ34L6lEZ3mKeJtxxqZvWw/bG9jYWw6Ly9tZWRpYS8xSi8wRC82MFIzMEMxSDc0U0swRDFKLzEzZTkwMzBiLmpwZWc, https://media.aiku.io/HK9o-DQ74Syw50AQnXTYqAFwZb_zLv50thZuMn_w2E8/bG9jYWw6Ly9tZWRpYS8xSi9BRS82MFIzMEMxSDc0UzNBRTFKLzdmZDNjNzEyLmpwZWc","2025-12-02 12:57:12+00","2025-12-02 12:57:12+00",,"2025-09-11 10:15:31+00",92
Active,BohoIS-01,,"Indian Boho Scarves",5056368327872,,3.03,1,Scarf,3.03,"Indian Boho Scarves - 50x180cm - Random Purples",6,0.082,0.082,"50x180 (cm)","Cotton, polyester, Rayon","<p><span style=""color: rgb(147, 101, 184);""><strong>Indian Boho Scarves - Random Purples</strong></span></p><p><span style=""color: rgb(75, 80, 88);"">Each scarf is a masterpiece of color and culture, blending the vibrancy of India with a Bohemian twist. These scarves are a perfect addition to your store, offering a burst of color and elegance at an unbeatable price.</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>Please note:</strong> As these scarves have undergone an extended shipping process, we recommend giving them a brief airing out or a gentle wash before displaying them to your valued customers.</span></p><p><strong><span style=""color: rgb(75, 80, 88);"">Wear them as scarves, shawls, or even as a head wrap &ndash; these scarves will effortlessly refresh any outfit.</span></strong></p><p>▪️ Size: 56 x 183 cm (22 x 72 in)&nbsp;</p><p>▪️ Material:&nbsp;100% cotton</p><p>▪️ Care Instruction: Hand wash only&nbsp;</p><p>▪️ Origin: India</p><p><strong><em>Sold as 1 single scarf</em></strong></p><p><span style=""color: rgb(243, 121, 52);""><strong>*Please specify which colour is preferred at checkout*</strong>&nbsp;</span></p>","Indian Boho Scarves - Random PurplesEach scarf is a masterpiece of color and culture, blending the vibrancy of India with a Bohemian twist. These scarves are a perfect addition to your store, offering a burst of color and elegance at an unbeatable price.Please note: As these scarves have undergone an extended shipping process, we recommend giving them a brief airing out or a gentle wash before displaying them to your valued customers.Wear them as scarves, shawls, or even as a head wrap &ndash; these scarves will effortlessly refresh any outfit.▪️ Size: 56 x 183 cm (22 x 72 in)&nbsp;▪️ Material:&nbsp;100% cotton▪️ Care Instruction: Hand wash only&nbsp;▪️ Origin: IndiaSold as 1 single scarf*Please specify which colour is preferred at checkout*&nbsp;",IND,6214900019,6.4%,,Normal,"https://media.aiku.io/_t3TE2J-bAD0X6ueEzDXBhq8jMFRHULBC5jv42AhAcw/bG9jYWw6Ly9tZWRpYS85Ui82Qy82MFIzMEMxRzZXUjM2QzlSLzU0NThmM2E2LmpwZWc, https://media.aiku.io/woEzYohBOBIRwOnR1yP6LAt7lnXk5GUf-YfM8eNwUHI/bG9jYWw6Ly9tZWRpYS85Uy82Qy82MFIzMEMxRzZXUjM2QzlTL2JhMjYyMTE2LmpwZWc","2025-11-23 18:32:15+00","2025-11-23 18:32:15+00",,"2025-09-11 09:18:33+00",210
