Status,"Product code","Product user reference",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,AATOM-11,,"Aroma Diffusers",5055796505364,,14.13,1,Atomiser,14.13,"Milan Atomiser - USB - Colour Change",24.37,0.167,0.255,"9x19 (cm)",Plastic,"<p><strong>Aroma Diffusers&nbsp;</strong>are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.</p><p>The Aroma Diffuser use an ultrasonic motor to pump out the water so it’s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.</p><p>Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.</p><p>Fast selling - stock up today to totally atomise your sales</p><p>- Tank Capacity 120ml</p><p>- LED light - 7pcs</p><p>- Powered bu USB ( length of the cord 100cm)</p><p>- Auto power off when water runs out</p><p>Height: 19cm, Diameter: 9cm, weight 167</p> <p></p>","Aroma Diffusers&nbsp;are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.The Aroma Diffuser use an ultrasonic motor to pump out the water so it’s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.Fast selling - stock up today to totally atomise your sales- Tank Capacity 120ml- LED light - 7pcs- Powered bu USB ( length of the cord 100cm)- Auto power off when water runs outHeight: 19cm, Diameter: 9cm, weight 167 ",CHN,8509800000,2.0%,,OutofStock,"https://media.aiku.io/VmzoZEa1IDsd5jrDCREe3z2Z4Hz5tz1r1bpfSW_WYbY/bG9jYWw6Ly9tZWRpYS9IRy9DQy82MFIzMEMxRzZNVktDQ0hHLzI4Y2FhNGFmLmpwZWc, https://media.aiku.io/v3IR8RRXsVuHoqfWnY9KrOwaSfxhyX5fSmKXQqZrquc/bG9jYWw6Ly9tZWRpYS9ISC9DQy82MFIzMEMxRzZNVktDQ0hILzMzNDVkNmI3LmpwZWc, https://media.aiku.io/lkFWvEPxYTshn0BcfSxoxNaqMX_oQOJbl73p0uNX7FM/bG9jYWw6Ly9tZWRpYS85Uy9DQy82MFIzMEMxRzZNVktDQzlTL2RlY2Y2MTBlLmpwZWc, https://media.aiku.io/x2-QSjp8eZSj7qAclAW1qY7mn5G_hZEFndRa5INZQeY/bG9jYWw6Ly9tZWRpYS9ISi9DQy82MFIzMEMxRzZNVktDQ0hKLzg0M2UzNWYxLmpwZWc, https://media.aiku.io/__qWPP5slGPjXE5rkat4Cat9Tu2Lo6GAQQXB01cTT3k/bG9jYWw6Ly9tZWRpYS9ISy9DQy82MFIzMEMxRzZNVktDQ0hLLzVlZWNkM2I4LmpwZWc, https://media.aiku.io/DJcf1QqzxuQpqeCREQt-gVNJ0guj7e3V-j3i4cTlDCw/bG9jYWw6Ly9tZWRpYS9ITS9DQy82MFIzMEMxRzZNVktDQ0hNL2ZhMDkxODZlLmpwZWc","2025-12-25 03:00:28+00","2025-11-24 19:25:35+00",,"2025-10-08 08:57:04+00",0
Active,AATOM-12,,"Aroma Diffusers",5055796505371,,25.77,1,Atomiser,25.77,"Santorini Atomiser - Shell Effect - USB - Colour Change - Timer",44.9,0.34,0.5,"15.5x16 (cm)",Plastic,"<p><strong>&nbsp;Aroma Diffusers</strong> are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.</p><p>The Aroma Diffuser use an ultrasonic motor to pump out the water so it&rsquo;s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.</p><p>Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.</p><p>Fast selling - stock up today to totally atomise your sales</p><p>- Tank Capacity 400ml</p><p>- LED light - 7pcs</p><p>- Powered bu USB ( length of the cord 100cm)</p><p>- no timer</p><p>Height: 15.5cm, Diameter: 16cm, weight 340g</p>","&nbsp;Aroma Diffusers are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.The Aroma Diffuser use an ultrasonic motor to pump out the water so it&rsquo;s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.Fast selling - stock up today to totally atomise your sales- Tank Capacity 400ml- LED light - 7pcs- Powered bu USB ( length of the cord 100cm)- no timerHeight: 15.5cm, Diameter: 16cm, weight 340g",CHN,8509800000,2.0%,,Normal,"https://media.aiku.io/1DRbJxQRlimWNQ_SSw1svq8TD7krc1UqaP4rdFu4mNs/bG9jYWw6Ly9tZWRpYS9IUC9DQy82MFIzMEMxRzZNVktDQ0hQL2YzMTAxYzM5LmpwZWc, https://media.aiku.io/3Lu8RScGRCDB_trF168rc_V9xW_kezNvED2pghhTcL4/bG9jYWw6Ly9tZWRpYS9IUS9DQy82MFIzMEMxRzZNVktDQ0hRL2FmNTE5YjNkLmpwZWc, https://media.aiku.io/WHd_M4uTrdKWm4GZvKRYcB9MCtwRDX6WxoghToO6aHY/bG9jYWw6Ly9tZWRpYS9ITi9DQy82MFIzMEMxRzZNVktDQ0hOLzVmYzUwNGM5LmpwZWc, https://media.aiku.io/95KWFY1Fr3Xe5cLy-4hsV0ZHH5XZwEBVjhIpOyI1iYo/bG9jYWw6Ly9tZWRpYS9IUi9DQy82MFIzMEMxRzZNVktDQ0hSL2Y1Yjc2MTMzLmpwZWc, https://media.aiku.io/FJGjwxNTRu-iytRKERYylmAWvdfZGzv9FWpWyOc_3Q8/bG9jYWw6Ly9tZWRpYS9IUy9DQy82MFIzMEMxRzZNVktDQ0hTLzZkYzNlNjcwLmpwZWc, https://media.aiku.io/IN6BljbCyvxFZySNepgLfe9IoxMtOxmX4pklvFX2bdc/bG9jYWw6Ly9tZWRpYS9TRy9DQy82MFIzMEMxRzZNVktDQ1NHLzNmNDM5YmE0LmpwZWc","2025-12-24 22:54:22+00","2025-12-23 02:58:43+00",,"2025-09-11 07:48:53+00",56
Active,AATOM-16,,"Aroma Diffusers",5055796505449,,18.05,1,Atomiser,18.05,"Aarhus Atomiser - Classic Pod - USB - Colour Change - Timer",31.5,0.224,0.32,"13.5x10.5 (cm)",Plastic,"<p><strong>&nbsp;Aroma Diffusers&nbsp;</strong>are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.</p><p>The Aroma Diffuser use an ultrasonic motor to pump out the water so it&rsquo;s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.</p><p>Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.</p><p>Fast selling - stock up today to totally atomise your sales</p><p>- Tank Capacity 300ml</p><p>- LED light - 7pcs</p><p>- Powered bu USB ( length of the cord 100cm)</p><p>- Auto power off when water runs out</p><p>- timer 3-6h</p><p>Height 10.5cm, Diameter: 13.5cm, Weight 224g</p>","&nbsp;Aroma Diffusers&nbsp;are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.The Aroma Diffuser use an ultrasonic motor to pump out the water so it&rsquo;s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.Fast selling - stock up today to totally atomise your sales- Tank Capacity 300ml- LED light - 7pcs- Powered bu USB ( length of the cord 100cm)- Auto power off when water runs out- timer 3-6hHeight 10.5cm, Diameter: 13.5cm, Weight 224g",CHN,8509800000,2.0%,,OutofStock,"https://media.aiku.io/Vb-5rbmL-TpUft6Bb_6cCbJExp6_m1zwvwUHZnQ-PTM/bG9jYWw6Ly9tZWRpYS8xUi9DRC82MFIzMEMxRzZNVktDRDFSL2Y5NGJhNDQ1LmpwZWc, https://media.aiku.io/zI9aLuWHFuVkDEEAYDuzHVRvsN4ieKjFwJfxEhr9HFk/bG9jYWw6Ly9tZWRpYS8xUy9DRC82MFIzMEMxRzZNVktDRDFTLzEzNjAyMDI0LmpwZWc, https://media.aiku.io/VwsfxSj3_jMIe3_NnzdWX_rcq1s1wp40FESiNiyYhSQ/bG9jYWw6Ly9tZWRpYS8xUS9DRC82MFIzMEMxRzZNVktDRDFRLzdlYmY3ODA4LmpwZWc, https://media.aiku.io/2T94-Wg-4TTzYeQ4QIlvQSRPM6YcV0fx25Ud_EeZLy0/bG9jYWw6Ly9tZWRpYS85Ry9DRC82MFIzMEMxRzZNVktDRDlHLzZlOTkwYzE4LmpwZWc, https://media.aiku.io/9HyOrh0h7uytm6rwqYAuwhDRYOnyzQ2_ICz09Zb3ABs/bG9jYWw6Ly9tZWRpYS85SC9DRC82MFIzMEMxRzZNVktDRDlILzA3ZTQyZDg1LmpwZWc, https://media.aiku.io/e1xFIBStAh57Zxk6-dy2Y1eQqXNczY3JTCInAZxOlCs/bG9jYWw6Ly9tZWRpYS85Si9DRC82MFIzMEMxRzZNVktDRDlKLzc4YmM5YzVjLmpwZWc","2025-12-25 03:00:30+00","2025-11-18 10:40:35+00",,"2025-09-11 07:49:00+00",0
Active,AATOM-14,,"Aroma Diffusers",5055796505395,,25.77,1,Atomiser,25.77,"Palma Atomiser - Shell Effect - USB - Colour Change - Timer",44.88,0.4,0.62,"16.5x21.5 (cm)",Plastic,"<p><strong>Aroma Diffusers</strong> are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.</p><p>The Aroma Diffuser use an ultrasonic motor to pump out the water so it&rsquo;s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.</p><p>Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.</p><p>Fast selling - stock up today to totally atomise your sales</p><p>- Tank Capacity 400ml</p><p>- LED light - 7pcs</p><p>- Powered bu USB ( length of the cord 100cm)</p><p>- Auto power off when water runs out</p><p>- timer 3-6h</p><p>Height:21.5cm, Diameter 16.5cm, Weight: 400g</p>","Aroma Diffusers are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.The Aroma Diffuser use an ultrasonic motor to pump out the water so it&rsquo;s very quiet during use. As featuring a colour changing mood light and can be used as a simple humidifier.Aroma Diffusers are very easy to operate and maintain, only occasionally having to be filled with a small amount of water and a few drops of scented oil.Fast selling - stock up today to totally atomise your sales- Tank Capacity 400ml- LED light - 7pcs- Powered bu USB ( length of the cord 100cm)- Auto power off when water runs out- timer 3-6hHeight:21.5cm, Diameter 16.5cm, Weight: 400g",CHN,8509800000,2.0%,,OutofStock,"https://media.aiku.io/YDTQpQDcsvcNpifKMDLKX_Z_wGis8RQDb1bJaBdI_8M/bG9jYWw6Ly9tZWRpYS9TUy9DQy82MFIzMEMxRzZNVktDQ1NTL2Y0M2IxNTk5LmpwZWc, https://media.aiku.io/jijzsUOIsAZC4sFCFhz_9GPD-u8wkaNCZX6e4pRPrA4/bG9jYWw6Ly9tZWRpYS8xRy9DRC82MFIzMEMxRzZNVktDRDFHL2Y0Zjk4N2M5LmpwZWc, https://media.aiku.io/OLn6ug_IewV5ksnZFIqssqCV3wv3ItoDTjucTuiQXUE/bG9jYWw6Ly9tZWRpYS9TUi9DQy82MFIzMEMxRzZNVktDQ1NSLzI0MGI1YWQzLmpwZWc, https://media.aiku.io/LLhLRKrNVMbIRCBDczy2UoGoh4p0V19x4xUXZvQNZBU/bG9jYWw6Ly9tZWRpYS8xSC9DRC82MFIzMEMxRzZNVktDRDFILzRkMzdhY2VkLmpwZWc, https://media.aiku.io/vZc-ckQkbg8vXgivCQgMLJwTotl2Ib9cue32Fw1CGP4/bG9jYWw6Ly9tZWRpYS8xSi9DRC82MFIzMEMxRzZNVktDRDFKLzhmZjQ1NDJjLmpwZWc, https://media.aiku.io/IN6BljbCyvxFZySNepgLfe9IoxMtOxmX4pklvFX2bdc/bG9jYWw6Ly9tZWRpYS9TRy9DQy82MFIzMEMxRzZNVktDQ1NHLzNmNDM5YmE0LmpwZWc","2025-12-25 03:00:30+00","2025-12-18 10:47:04+00",,"2025-09-11 07:48:56+00",0
Active,AATOM-18,,"Aroma Diffusers",5056368310096,1,18.05,1,Atomiser,18.05,"Palermo Atomiser - USB - Colour Change - Timer",29.5,0.4,0.333,"11.5x16 (cm)",Plastic,"<p><strong>Palermo Atomiser - USB - Colour Change- Timer</strong>&nbsp;uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.</p><p>Tank capacity:&nbsp;120 ml</p><p>LED light&nbsp;- 7 variants</p><p>Powered by USB&nbsp;(length of the cord 100 cm)</p><p>Dimensions:&nbsp;height 15,5 cm, diameter 11 cm</p><p><span style=""color: rgb(184, 49, 47);""><strong>To be used with essential oils mixed in water only!</strong></span></p>","Palermo Atomiser - USB - Colour Change- Timer&nbsp;uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.Tank capacity:&nbsp;120 mlLED light&nbsp;- 7 variantsPowered by USB&nbsp;(length of the cord 100 cm)Dimensions:&nbsp;height 15,5 cm, diameter 11 cmTo be used with essential oils mixed in water only!",CHN,8509800000,2.0%,,OutofStock,"https://media.aiku.io/5UNY4lCG4cjizXk0cmay9eWaqA8Rvqx3bCunI617twM/bG9jYWw6Ly9tZWRpYS85UC8yRS82MFIzMEMxRzZSUksyRTlQLzhhZDZiYjJiLmpwZWc, https://media.aiku.io/90jFQjeaW0QaGjyXlOO11VDc-7PN_fzD6L_gUj3212k/bG9jYWw6Ly9tZWRpYS85US8yRS82MFIzMEMxRzZSUksyRTlRL2JlZTM2ZTMxLmpwZWc, https://media.aiku.io/y35YlQdMXL_XDor-_1-cBeZizCPUD4aHfdRKY9dW9Qw/bG9jYWw6Ly9tZWRpYS85Ui8yRS82MFIzMEMxRzZSUksyRTlSLzVhYzkzMWU2LmpwZWc, https://media.aiku.io/LzIHAq4AHkwsjRxYNztJHTj7MjnYjDMQvXhCBQ4ho7w/bG9jYWw6Ly9tZWRpYS85Uy8yRS82MFIzMEMxRzZSUksyRTlTL2RiNDU2ZGI4LmpwZWc","2025-12-25 03:06:40+00","2025-12-09 09:01:13+00",,"2025-09-11 08:18:05+00",0
Discontinuing,AATOM-20,,"Aroma Diffusers",5056368310119,,15.3,1,Atomiser,15.3,"Marseille Atomiser - USB - Colour Change - Timer",29.5,0.4,0.35,"11.5x15 (cm)",Plastic,"<p><strong>Marseille Atomiser - USB - Colour Change- Timer</strong>&nbsp;uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.</p><p>Tank capacity:&nbsp;120 ml</p><p>LED light&nbsp;- 7 variants</p><p>Powered by USB&nbsp;(length of the cord 100 cm)</p><p>Dimensions:&nbsp;height 15 cm, diameter 11 cm</p><p><span style=""color: rgb(184, 49, 47);""><strong>T</strong><strong>o be used with essential oils mixed in water only!</strong></span></p>","Marseille Atomiser - USB - Colour Change- Timer&nbsp;uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.Tank capacity:&nbsp;120 mlLED light&nbsp;- 7 variantsPowered by USB&nbsp;(length of the cord 100 cm)Dimensions:&nbsp;height 15 cm, diameter 11 cmTo be used with essential oils mixed in water only!",CHN,8509800000,2.0%,,Discontinuing,"https://media.aiku.io/xvdBmN-ZcdaMgiksw9_EuG5kQFdTib9NbLVXW4iN-EI/bG9jYWw6Ly9tZWRpYS8xUi80Qy82MFIzMEMxRzZSUks0QzFSLzE3YmQwOTgxLmpwZWc, https://media.aiku.io/C6ykl_12q5wTKKikYEEHySeTnh87KZsF1S_6an4bkSA/bG9jYWw6Ly9tZWRpYS8xUy80Qy82MFIzMEMxRzZSUks0QzFTL2MzMDIzNDEwLmpwZWc","2025-12-22 12:03:11+00","2025-12-22 12:03:11+00",,"2025-09-11 09:01:41+00",185
Discontinuing,AATOM-21,,"Aroma Diffusers",5056368310126,,15.03,1,Atomiser,15.03,"Helsinki  Atomiser - USB - Colour Change - Timer",29.5,0.4,0.333,"11.5x13 (cm)",Plastic,"<p><strong>Helsinki Atomiser - USB - Colour Change- Timer</strong> uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.</p><p>Tank capacity:&nbsp;120 ml</p><p>LED light&nbsp;- 7 variants</p><p>Powered by USB&nbsp;(length of the cord 100 cm)</p><p>Dimensions:&nbsp;height 13 cm, diameter 11 cm</p><p><span style=""color: rgb(184, 49, 47);""><strong>To be used with essential oils mixed in water only!</strong></span></p>","Helsinki Atomiser - USB - Colour Change- Timer uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.Tank capacity:&nbsp;120 mlLED light&nbsp;- 7 variantsPowered by USB&nbsp;(length of the cord 100 cm)Dimensions:&nbsp;height 13 cm, diameter 11 cmTo be used with essential oils mixed in water only!",CHN,8509800000,2.0%,,Discontinuing,"https://media.aiku.io/6aNW0jmO0oB86hgY6Phyc-N6EfDCGLcp-NNywJ_8Izk/bG9jYWw6Ly9tZWRpYS8xSy80Qy82MFIzMEMxRzZSUks0QzFLL2YyZWEzNDEwLmpwZWc, https://media.aiku.io/EGVOw2_UDUzWyp_ztuLHZBlk_XSvxv2WLZWW0sTUmkg/bG9jYWw6Ly9tZWRpYS8xTS80Qy82MFIzMEMxRzZSUks0QzFNL2VhNjcyODFhLmpwZWc, https://media.aiku.io/SAN3U2YPbh2LqfcLLD9D5b_yNDo-ivNmHqBi7IWCGNQ/bG9jYWw6Ly9tZWRpYS8xTi80Qy82MFIzMEMxRzZSUks0QzFOLzcwOWFlZWEwLmpwZWc","2025-12-25 03:04:55+00","2025-09-18 20:54:39+00",,"2025-09-11 09:01:43+00",0
Discontinuing,AATOM-23,,"Aroma Diffusers",5056368310140,,17.52,1,Atomiser,17.52,"Barcelona Atomiser - USB - Colour Change - Timer",35,0.4,0.38,"11.5x19 (cm)",Plastic,"<p><strong>Barcelona Atomiser - USB - Colour Change- Timer </strong>uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.</p><p>Tank capacity:&nbsp;120 ml</p><p>LED light&nbsp;- 7 variants</p><p>Powered by USB&nbsp;(length of the cord 100 cm)</p><p>Dimensions:&nbsp;height 19 cm, diameter 11 cm</p><p><span style=""color: rgb(184, 49, 47);""><strong>To be used with essential oils mixed in water only!</strong></span></p>","Barcelona Atomiser - USB - Colour Change- Timer uses ultrasonic waves to instantly vaporise the water and essenstial oil in the tank to create a cool dry fagrant mist.Tank capacity:&nbsp;120 mlLED light&nbsp;- 7 variantsPowered by USB&nbsp;(length of the cord 100 cm)Dimensions:&nbsp;height 19 cm, diameter 11 cmTo be used with essential oils mixed in water only!",CHN,8509800000,2.0%,,Discontinuing,"https://media.aiku.io/jUi1QcV4sT2z1CGcZfpqrv5Pz02t1Iikp4vaZXCtacQ/bG9jYWw6Ly9tZWRpYS85Ry80Qy82MFIzMEMxRzZSUks0QzlHL2I5NjAyODliLmpwZWc, https://media.aiku.io/VwpfqbxiyIcosp0dRLTdS7YWGVSkFaV-t6uEBBTKQhw/bG9jYWw6Ly9tZWRpYS85SC80Qy82MFIzMEMxRzZSUks0QzlILzlmZTg2NzAyLmpwZWc","2025-12-25 03:04:56+00","2025-10-24 11:32:05+00",,"2025-09-11 09:01:47+00",0
Discontinuing,AATOM-19,,"Aroma Diffusers",5056368310102,,16.58,1,Atomiser,16.58,"Copenhagen Atomiser - USB - Colour Change - Timer",29.5,0.4,0.55,"11.5x15.2 (cm)",Plastic,"<p><strong>Copenhagen Atomiser Aroma Diffusers</strong>&nbsp;are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.&nbsp;</p><p>- Tank Capacity 120ml</p><p>- LED light - 4 colours</p><p>- Powered bu USB ( length of the cord 100cm)&nbsp;</p><p>- Auto power off when water runs out</p><p>- timer 1-3-6 hours</p><p>Height 15cm, Diameter: 10.5cm, Weight 0.400&nbsp;</p><p>Comes with the user manual</p>","Copenhagen Atomiser Aroma Diffusers&nbsp;are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.&nbsp;- Tank Capacity 120ml- LED light - 4 colours- Powered bu USB ( length of the cord 100cm)&nbsp;- Auto power off when water runs out- timer 1-3-6 hoursHeight 15cm, Diameter: 10.5cm, Weight 0.400&nbsp;Comes with the user manual",CHN,8509800000,2.0%,,Discontinuing,"https://media.aiku.io/15_6VvbtufQbOPzZLAbYFh-Yscii0zXT0up05QlfT3Y/bG9jYWw6Ly9tZWRpYS8xSC80Qy82MFIzMEMxRzZSUks0QzFIL2UzOTgxZTAzLmpwZWc, https://media.aiku.io/SUsVdC9XQQqGSsSh-NykrpM5vMRmSYBLVmWNVCfAvHQ/bG9jYWw6Ly9tZWRpYS8xRy80Qy82MFIzMEMxRzZSUks0QzFHL2NlMDI1NjQyLmpwZWc, https://media.aiku.io/LzIHAq4AHkwsjRxYNztJHTj7MjnYjDMQvXhCBQ4ho7w/bG9jYWw6Ly9tZWRpYS85Uy8yRS82MFIzMEMxRzZSUksyRTlTL2RiNDU2ZGI4LmpwZWc, https://media.aiku.io/7GZ35anfWbjnZjMTWhHY-rEhYRDXwGucqruiUp7KAYg/bG9jYWw6Ly9tZWRpYS8xSi80Qy82MFIzMEMxRzZSUks0QzFKLzI4MjBmYTc1LmpwZWc","2025-12-22 12:03:13+00","2025-12-22 12:03:13+00",,"2025-09-11 09:01:39+00",198
Discontinuing,AATOM-22,,"Aroma Diffusers",5056368310133,,20.33,1,Atomiser,20.33,"Paris  Atomiser - USB - Colour Change - Timer",38,0.4,0.4,"11.5x28 (cm)",Plastic,"<p><strong>Paris Atomiser Aroma Diffusers</strong> are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.</p><p>- Tank Capacity 120ml</p><p>- LED light - 4 colours</p><p>- Powered bu USB ( length of the cord 100cm)</p><p>- Auto power off when water runs out</p><p>- timer 1-3-6 hours</p><p>Height 27,5cm, Diameter: 11.5cm, Weight 0.400</p><p>Comes with the user manual</p>","Paris Atomiser Aroma Diffusers are timeless and elegant, they provide a flameless and smoke-free way to fragrance your room or office. Just add some water and a favourite essential or fragrance oil for an instant aroma experience.- Tank Capacity 120ml- LED light - 4 colours- Powered bu USB ( length of the cord 100cm)- Auto power off when water runs out- timer 1-3-6 hoursHeight 27,5cm, Diameter: 11.5cm, Weight 0.400Comes with the user manual",CHN,8509800000,2.0%,,Discontinuing,"https://media.aiku.io/TNsc0uwXXdPNmCkFPllapCBGIy42dTaIdJ5hIidIr_I/bG9jYWw6Ly9tZWRpYS8xUS80Qy82MFIzMEMxRzZSUks0QzFRLzhkZmU4MGFlLmpwZWc, https://media.aiku.io/tlwSKIwl4qj3ruTpVtFHP3f51dlIVBHb8t9jUo47Oso/bG9jYWw6Ly9tZWRpYS8xUC80Qy82MFIzMEMxRzZSUks0QzFQLzMwMDU1M2Y3LmpwZWc","2025-12-25 03:04:55+00","2025-10-07 13:03:11+00",,"2025-09-11 09:01:45+00",0
