Status,"Product code","Product user reference",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,GEL-05,,"Gemstone Enchantment Lights",5056368333651,,9.54,1,String,9.54,"Gemstone Enchantment Lights - Rock Quartz",18.35,0.15,0.15,"227x0.5 (cm)","Gemstone, Led Lights","<p><span style=""color: rgb(75, 80, 88);"">Introducing <strong>Gemstone Enchantment Lights</strong> - a dazzling fusion of nature&#39;s beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>The lights come with a USB connector</strong> for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>The length of the lights is 227cm.</strong></span></p><p><span style=""color: rgb(75, 80, 88);""><strong>Clear your space and mind with the purifying energy of </strong><strong>Rock Quartz.</strong> These lights emit a pure and cleansing light, making them perfect for meditation, enhancing clarity, and promoting a sense of balance.</span> </p><p><span style=""color: rgb(75, 80, 88);""><strong>Transform any space into a realm of enchantment with Gemstone Enchantment Lights.</strong></span></p>","Introducing Gemstone Enchantment Lights - a dazzling fusion of nature&#39;s beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;The lights come with a USB connector for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;The length of the lights is 227cm.Clear your space and mind with the purifying energy of Rock Quartz. These lights emit a pure and cleansing light, making them perfect for meditation, enhancing clarity, and promoting a sense of balance. Transform any space into a realm of enchantment with Gemstone Enchantment Lights.",CHN,9405310000,2.0%,,Normal,"https://media.aiku.io/F4JBoYsodzJHLGrAX8nykCYd8VmTAIt_aCILNGE3MXU/bG9jYWw6Ly9tZWRpYS85UC84RC82MFIzMEMxRzZSV0s4RDlQL2QyZDcyOTJkLmpwZWc, https://media.aiku.io/h65cFEhQCcuA_aSYZi-qxUvP9RrG1OgHq3gQxH9f3wk/bG9jYWw6Ly9tZWRpYS85Ti84RC82MFIzMEMxRzZSV0s4RDlOLzFjNDJhYWZmLmpwZWc, https://media.aiku.io/Pn4X13N7tlRRewWSw9Z4q9zIBp0m10BoxqtYh0yEfWY/bG9jYWw6Ly9tZWRpYS85US84RC82MFIzMEMxRzZSV0s4RDlRL2FkYmZhMWY3LmpwZWc, https://media.aiku.io/wJFTltWylB5tUtfhaKRuduvh6mjOK6NgyJNcG_9iXfE/bG9jYWw6Ly9tZWRpYS85Ui84RC82MFIzMEMxRzZSV0s4RDlSLzIzOTA0YTQzLmpwZWc","2025-12-21 17:56:15+00","2025-12-21 17:56:15+00",,"2025-09-11 09:32:27+00",160
Active,GEL-03,,"Gemstone Enchantment Lights",5056368333644,,9.54,1,String,9.54,"Gemstone Enchantment Lights - Citrine",18.35,0.15,0.15,"227x0.5 (cm)","Gemstone, Led Lights","<p><span style=""color: rgb(75, 80, 88);"">Introducing <strong>Gemstone Enchantment Lights</strong> - a dazzling fusion of nature&#39;s beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>The lights come with a USB connector</strong> for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>The length of the lights is 227cm.</strong></span></p><p><strong><span style=""color: rgb(75, 80, 88);"">Radiate positivity with Citrine lights.</span></strong><span style=""color: rgb(75, 80, 88);"">&nbsp;This sunny gemstone emits a cheerful, uplifting glow that promotes abundance, success, and joy. Illuminate your space with the energy of optimism and motivation.</span> </p><p><span style=""color: rgb(75, 80, 88);""><strong>Transform any space into a realm of enchantment with Gemstone Enchantment Lights.</strong></span></p>","Introducing Gemstone Enchantment Lights - a dazzling fusion of nature&#39;s beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;The lights come with a USB connector for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;The length of the lights is 227cm.Radiate positivity with Citrine lights.&nbsp;This sunny gemstone emits a cheerful, uplifting glow that promotes abundance, success, and joy. Illuminate your space with the energy of optimism and motivation. Transform any space into a realm of enchantment with Gemstone Enchantment Lights.",CHN,9405310000,2.0%,,Normal,"https://media.aiku.io/rM0EVgh1c_p3_dMpuTaBJphWicn7DrAhluocXJvM_IU/bG9jYWw6Ly9tZWRpYS85Si84RC82MFIzMEMxRzZSV0s4RDlKLzY0ZmVjMDE1LmpwZWc, https://media.aiku.io/JSwul46HE-M2uCV1B0EiM6HeFLfjbexx8SKPo-St9xQ/bG9jYWw6Ly9tZWRpYS85SC84RC82MFIzMEMxRzZSV0s4RDlIL2I0MDA4OTE1LmpwZWc, https://media.aiku.io/qDhJCaLE27Tt1y4PMohbqNmTNO47gtnXUv6rcoE5_T0/bG9jYWw6Ly9tZWRpYS85Sy84RC82MFIzMEMxRzZSV0s4RDlLLzVlZmQzOTFkLmpwZWc, https://media.aiku.io/BEvYPm9UiiWEoSg0x1QLyjRc7qZmjkyeGgtiR_27_a0/bG9jYWw6Ly9tZWRpYS85TS84RC82MFIzMEMxRzZSV0s4RDlNLzNjMjE4NGM0LmpwZWc","2025-12-24 03:24:01+00","2025-12-24 03:24:01+00",,"2025-09-11 09:32:25+00",206
Active,GEL-04,,"Gemstone Enchantment Lights",5056368333613,,10.34,1,String,10.34,"Gemstone Enchantment Lights - Mixed Rocks",19.5,0.15,0.15,"227x0.4 (cm)","Gemstone, Led Lights","<p><span style=""color: rgb(75, 80, 88);"">Introducing <strong>Gemstone Enchantment Lights</strong> - a dazzling fusion of nature&#39;s beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>The lights come with a USB connector</strong> for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>The length of the lights is 227cm.</strong></span></p><p><span style=""color: rgb(75, 80, 88);"">Illuminate your space with a <strong>dazzling mix of gemstones</strong>. Each light in this collection showcases a variety of gemstones, each with its distinct charm. Enjoy the combined benefits of different gem energies, adding a touch of mystique to your surroundings.</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>Transform any space into a realm of enchantment with Gemstone Enchantment Lights.</strong></span></p>","Introducing Gemstone Enchantment Lights - a dazzling fusion of nature&#39;s beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;The lights come with a USB connector for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;The length of the lights is 227cm.Illuminate your space with a dazzling mix of gemstones. Each light in this collection showcases a variety of gemstones, each with its distinct charm. Enjoy the combined benefits of different gem energies, adding a touch of mystique to your surroundings.Transform any space into a realm of enchantment with Gemstone Enchantment Lights.",CHN,9405310000,2.0%,,Normal,"https://media.aiku.io/GTi-9BuGs6xW0SbIoFgkoAlZdqC8y8RxDRTw6zWPzYg/bG9jYWw6Ly9tZWRpYS8xRy84RC82MFIzMEMxRzZSV0s4RDFHLzQ0MDk0YzMzLmpwZWc, https://media.aiku.io/fEWBnme7CIyUbZUgrRveoDR0H52f_TT1bHZ4gJKvEUc/bG9jYWw6Ly9tZWRpYS9TUy84Qy82MFIzMEMxRzZSV0s4Q1NTL2Y2ZDI0YWI0LmpwZWc, https://media.aiku.io/S0j1bV2SdzyXrP3HZ8dEvbESYCT-pQTMPVqPRNLGx6c/bG9jYWw6Ly9tZWRpYS9TUi84Qy82MFIzMEMxRzZSV0s4Q1NSLzA5YTQ4MWE1LmpwZWc, https://media.aiku.io/gRovcSPNAA15ylf6C00H9emsxN13Nw4_jq_i2E65rGk/bG9jYWw6Ly9tZWRpYS8xSC84RC82MFIzMEMxRzZSV0s4RDFIL2FkOGQzOGJkLmpwZWc, https://media.aiku.io/e8ppPsTezgOg30FmN0se-kEW_iaUr0e5-8QgJx2K8eY/bG9jYWw6Ly9tZWRpYS8xSi84RC82MFIzMEMxRzZSV0s4RDFKLzQzZTdhZWY1LmpwZWc","2025-12-23 21:42:16+00","2025-12-23 21:42:16+00",,"2025-09-11 09:32:19+00",91
Active,OrgCP-12,,"Orgonite Power Chakra Pendulums",5056368302022,,4.82,1,Pendulum,4.82,"Orgonite Power Chakra Pendulum - Angel Wing",8.5,0.02,0.02,"3.5x1.5 (cm)","Gemstones, Resins, Metals","<p>Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.</p><p>Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;</p><p>Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.</p>","Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.",IND,7116208000,2.5%,,Normal,"https://media.aiku.io/k3F0dgrAlZI_du1DoJuGsrb65nZSg4JeLAC73myvGGc/bG9jYWw6Ly9tZWRpYS8xSC82Qy82MFIzMEMxRzZSUks2QzFIL2U0N2UwNTM4LmpwZWc, https://media.aiku.io/Uy5qJsBRWGmYMjClTqlkkux1XFitPpy11NIt76CntJ0/bG9jYWw6Ly9tZWRpYS8xSi82Qy82MFIzMEMxRzZSUks2QzFKLzA4NzNmNDQ3LmpwZWc, https://media.aiku.io/OGZd1Iqldo5yt9weNnidR7MXpMHW_zlBhEwqFUoW1sQ/bG9jYWw6Ly9tZWRpYS8xSy82Qy82MFIzMEMxRzZSUks2QzFLL2RjZDI4ODc2LmpwZWc, https://media.aiku.io/V5OFp0RZN69Ux7xwKfoE81DmZBVEndIbiMg8AJBa1O8/bG9jYWw6Ly9tZWRpYS8xTS82Qy82MFIzMEMxRzZSUks2QzFNLzg3NmRhZjU2LmpwZWc","2025-12-18 08:52:12+00","2025-12-18 08:52:12+00",,"2025-09-11 08:03:05+00",187
Active,OrgCP-02,,"Orgonite Power Chakra Pendulums",5056368301926,,4.13,1,Pendulum,4.13,"Orgonite Power Chakra Pendulum - Rose Quartz",7.5,0.02,0.02,"3.5x1.5 (cm)","Gemstones, Resins, Metals","<p><span style=""color: rgb(75, 80, 88);"">Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.</span></p><p><span style=""color: rgb(75, 80, 88);"">Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);"">Chain Length - approx 150 mm.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);"">Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.</span></p>","Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;Chain Length - approx 150 mm.&nbsp;Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.",IND,7116208000,2.5%,,Normal,"https://media.aiku.io/VBTEvhpmPiB7bLtxMkA_EDCcACw6abTRLpnuMZYEeSo/bG9jYWw6Ly9tZWRpYS9TRy80RC82MFIzMEMxRzZSUks0RFNHL2Y1ZDMzMTYzLmpwZWc, https://media.aiku.io/9sj_qmuzcbq006Uk8IAEPrRvZ08cMzv9BBv7xw3uAt8/bG9jYWw6Ly9tZWRpYS9TSC80RC82MFIzMEMxRzZSUks0RFNILzhhNjYyNTZjLmpwZWc, https://media.aiku.io/Xs-b_FE6CwW3SY7RP5gjSGK-43moAoWIsRN-Qwdy8oQ/bG9jYWw6Ly9tZWRpYS9TSi80RC82MFIzMEMxRzZSUks0RFNKLzMxYmIwYTY4LmpwZWc","2025-12-12 14:12:17+00","2025-12-12 14:12:17+00",,"2025-09-11 08:02:29+00",105
Active,OrgCP-07,,"Orgonite Power Chakra Pendulums",5056368301971,,4.82,1,Pendulum,4.82,"Orgonite Power Chakra Pendulum - Tree of Life",8.5,0.02,0.02,"3.5x1.5 (cm)","Gemstones, Resins, Metals","<p>Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.</p><p>Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;</p><p>Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.</p>","Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.",IND,7116208000,2.5%,,Normal,"https://media.aiku.io/b8TohqgNZ9honJt-5zK9u4-TKv8VZkoPGPI-ZzTn-7s/bG9jYWw6Ly9tZWRpYS8xTi80RS82MFIzMEMxRzZSUks0RTFOL2FhODFhNzlmLmpwZWc, https://media.aiku.io/CXmCasK57KV3LBURkMkJ4GYfDOh6jw3Su7hmjGJPPe0/bG9jYWw6Ly9tZWRpYS8xUC80RS82MFIzMEMxRzZSUks0RTFQLzYxY2Y2MjU0LmpwZWc, https://media.aiku.io/C_4-2qd39a0K-iTK1EzMDFO64OfJivLoDUWENr2x1Yk/bG9jYWw6Ly9tZWRpYS8xUS80RS82MFIzMEMxRzZSUks0RTFRLzE0ZmY5NmM5LmpwZWc","2025-12-24 22:54:21+00","2025-12-18 08:52:11+00",,"2025-09-11 08:02:44+00",58
Active,OrgCP-03,,"Orgonite Power Chakra Pendulums",5056368301933,,4.13,1,Pendulum,4.13,"Orgonite Power Chakra Pendulum - Tiger Eye",7.5,0.02,0.02,"3.5x1.5 (cm)","Gemstones, Resins, Metals","<p>Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.</p><p>Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;</p><p>Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.</p>","Orgonite has become very popular as a spiritual healing tool, and as protection against electromagnetic pollution. Orgonites are used to cleanse negative energy and are also used to counteract the effects electromagnetic waves have on our body. Orgonite is believed to help improve your life physically, emotionally and spiritually.Orgonite is a mixture of catalyzed fiberglass resin with metal shavings, poured into molds. Crystals, essential oils, high vibration organic materials can be added to the mixture for their ability to make the energy more coherent or to enhance the working of the orgonite.&nbsp;Dowsing or radiesthesia is believed to date back over six thousand years. The Egyptians and ancient Chinese were early practitioners. Orgonite Gemstone dowsing can be performed in many ways and it is claimed for all sorts of purposes, such as finding water, minerals, missing people and even lost objects. It is also used in healing, reiki and divination.",IND,7116208000,2.5%,,Normal,"https://media.aiku.io/vS5yFEwqEpCQYYQADrLfnYnjivLOTb0UhWe2by1BXEc/bG9jYWw6Ly9tZWRpYS9TSy80RC82MFIzMEMxRzZSUks0RFNLL2RhYWI5NDY2LmpwZWc, https://media.aiku.io/AL6T7TSGJB9gzRAEE02Vu2TANOAIGnbIaVcsZfXOtac/bG9jYWw6Ly9tZWRpYS9TTS80RC82MFIzMEMxRzZSUks0RFNNLzFkOTlkYzRhLmpwZWc, https://media.aiku.io/r5k6amOtiWAsqV9ES16ciutou6L7ECE6izB_qW79z5Y/bG9jYWw6Ly9tZWRpYS9TTi80RC82MFIzMEMxRzZSUks0RFNOL2RjZjliNjZlLmpwZWc","2025-12-09 13:31:08+00","2025-12-09 13:31:08+00",,"2025-09-11 08:02:32+00",146
Active,AromaJ-22,,"Aromatherapy Jewellery Necklaces and Bracelets",5055796532537,,10.96,1,Bracelet,10.96,"Aromatherapy Jewellery Chain Bracelet - Cat & Flowers - 20mm",19.5,0.25,0.25,"3x13.5 (cm)","Stainless Steel","<p><strong><span style=""color: rgb(75, 80, 88);"">AWGifts Dropship Europe Aromatherapy Chain Bracelet &nbsp;- Cat &amp; Flowers - 20mm&nbsp;</span></strong><span style=""color: rgb(75, 80, 88);"">&nbsp;will allow your customers to wear <strong>your favourite essential oil&nbsp;</strong>or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);"">Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. <strong>The scent of your oil can last for several days</strong>, but you can always top up more oil to the pad after the oil has completely diffused.</span></p>","AWGifts Dropship Europe Aromatherapy Chain Bracelet &nbsp;- Cat &amp; Flowers - 20mm&nbsp;&nbsp;will allow your customers to wear your favourite essential oil&nbsp;or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.",CHN,7117190090,4.0%,,Normal,"https://media.aiku.io/9YNleq0hVc5-lOXZjiKCuJF_aXBD_y6aAEpf1bPN9AA/bG9jYWw6Ly9tZWRpYS8xUS8wRS82MFIzMEMxRzZNVkswRTFRLzNlMGJkMzlhLmpwZWc, https://media.aiku.io/Xq2LjmpXBgyZOsK7LvPZqGZBvtuUC_MVz8_nTDk3YZo/bG9jYWw6Ly9tZWRpYS8xUi8wRS82MFIzMEMxRzZNVkswRTFSL2NkNmExMDYwLmpwZWc, https://media.aiku.io/0xfBWzgdnhYosrohRTjBj143YKL3kcGoqhShlvJgK1k/bG9jYWw6Ly9tZWRpYS8xUy8wRS82MFIzMEMxRzZNVkswRTFTL2RhZjVlMTgxLmpwZWc, https://media.aiku.io/kmSOnm7hu6SqnHXWtlgMp_0ma5et1sj4Kh5yEAnrTww/bG9jYWw6Ly9tZWRpYS8xSC8wRS82MFIzMEMxRzZNVkswRTFILzdkMTA1ZjkyLmpwZWc, https://media.aiku.io/L5iy4pqqBx7dk4iXTr0Dgz-KECvI6h9I8VKhnSMoWHI/bG9jYWw6Ly9tZWRpYS8xSi8wRS82MFIzMEMxRzZNVkswRTFKLzU1N2U0ZmZlLmpwZWc, https://media.aiku.io/0wo6tym-IAQO6sv1rdKRYEMXfox9JBq7NLli0D1nzq0/bG9jYWw6Ly9tZWRpYS8xSy8wRS82MFIzMEMxRzZNVkswRTFLL2Y5MmJhNmRhLmpwZWc, https://media.aiku.io/gXVFccSP8XRAy8DnbKHILOLtb3qRWpypgosAK3fu06A/bG9jYWw6Ly9tZWRpYS9TUi8wRC82MFIzMEMxRzZNVkswRFNSLzRmNWYxMzhkLmpwZWc","2025-12-15 11:22:16+00","2025-12-15 11:22:16+00",,"2025-09-11 07:43:00+00",76
Active,AromaJ-21,,"Aromatherapy Jewellery Necklaces and Bracelets",5055796532520,,10.96,1,Bracelet,10.96,"Aromatherapy Jewellery Chain Bracelet - Tree of Life - 20mm",19.5,0.25,0.25,"3x13.5 (cm)","Stainless Steel","<p><strong><span style=""color: rgb(75, 80, 88);"">AWGifts Dropship Europe Aromatherapy Chain Bracelet &nbsp;- Tree of Life - 20mm&nbsp;</span></strong><span style=""color: rgb(75, 80, 88);"">&nbsp;will allow your customers to wear <strong>your favourite essential oil&nbsp;</strong>or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);"">Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. <strong>The scent of your oil can last for several days</strong>, but you can always top up more oil to the pad after the oil has completely diffused.</span></p>","AWGifts Dropship Europe Aromatherapy Chain Bracelet &nbsp;- Tree of Life - 20mm&nbsp;&nbsp;will allow your customers to wear your favourite essential oil&nbsp;or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.",CHN,7117190090,4.0%,,Low,"https://media.aiku.io/1MreWXZJ_6NpVYoxcU5lWvr1oDgX_jQxT6ZtZyJSTX8/bG9jYWw6Ly9tZWRpYS8xTS8wRS82MFIzMEMxRzZNVkswRTFNLzc5NDNhM2IwLmpwZWc, https://media.aiku.io/4bE8GrimZSEZsFek4EDLyVH8ksfPNRwltxpNoeykKUY/bG9jYWw6Ly9tZWRpYS8xTi8wRS82MFIzMEMxRzZNVkswRTFOL2QyYTNmMWQ0LmpwZWc, https://media.aiku.io/LDYQ9Aevb1ydRh2JhV86UqeRQWtrfD_deV9eGQhgOCc/bG9jYWw6Ly9tZWRpYS8xUC8wRS82MFIzMEMxRzZNVkswRTFQL2ViMjI0OGYxLmpwZWc, https://media.aiku.io/kmSOnm7hu6SqnHXWtlgMp_0ma5et1sj4Kh5yEAnrTww/bG9jYWw6Ly9tZWRpYS8xSC8wRS82MFIzMEMxRzZNVkswRTFILzdkMTA1ZjkyLmpwZWc, https://media.aiku.io/L5iy4pqqBx7dk4iXTr0Dgz-KECvI6h9I8VKhnSMoWHI/bG9jYWw6Ly9tZWRpYS8xSi8wRS82MFIzMEMxRzZNVkswRTFKLzU1N2U0ZmZlLmpwZWc, https://media.aiku.io/0wo6tym-IAQO6sv1rdKRYEMXfox9JBq7NLli0D1nzq0/bG9jYWw6Ly9tZWRpYS8xSy8wRS82MFIzMEMxRzZNVkswRTFLL2Y5MmJhNmRhLmpwZWc, https://media.aiku.io/gXVFccSP8XRAy8DnbKHILOLtb3qRWpypgosAK3fu06A/bG9jYWw6Ly9tZWRpYS9TUi8wRC82MFIzMEMxRzZNVkswRFNSLzRmNWYxMzhkLmpwZWc","2025-12-12 09:57:06+00","2025-12-12 09:57:06+00",,"2025-09-11 07:42:57+00",14
Active,AromaJ-24,,"Aromatherapy Jewellery Necklaces and Bracelets",5055796532551,,11.93,1,Bracelet,11.93,"Aromatherapy Jewellery Crystal Bracelet - Dragonfly - 20mm",21,0.15,0.15,"6.5x6 (cm)","Stainless Steel","<p><strong><span style=""color: rgb(75, 80, 88);"">AWGifts Dropship Europe Aromatherapy Jewellery Crystal Bracelet &nbsp;- Dragonfly - 20mm&nbsp;</span></strong><span style=""color: rgb(75, 80, 88);"">&nbsp;will allow your customers to wear <strong>your favourite essential oil&nbsp;</strong>or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);"">Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. <strong>The scent of your oil can last for several days</strong>, but you can always top up more oil to the pad after the oil has completely diffused.</span></p>","AWGifts Dropship Europe Aromatherapy Jewellery Crystal Bracelet &nbsp;- Dragonfly - 20mm&nbsp;&nbsp;will allow your customers to wear your favourite essential oil&nbsp;or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.",CHN,7117190090,4.0%,,Normal,"https://media.aiku.io/rVxpJFm-clSbiMz5_0t2GGPhl2eM2xHPYHeFzJcs3Vo/bG9jYWw6Ly9tZWRpYS85UC8wRS82MFIzMEMxRzZNVkswRTlQL2FiODQ3MTJmLmpwZWc, https://media.aiku.io/9pUXo7IJD_lK7A-PF-B_meQqioQtUKAIOjiScbF1zPw/bG9jYWw6Ly9tZWRpYS85US8wRS82MFIzMEMxRzZNVkswRTlRLzM4MWVkNTBhLmpwZWc, https://media.aiku.io/CORQEKUdQK8len6kv-WlmAFuKrVAFAFkW4JIvoHLp-A/bG9jYWw6Ly9tZWRpYS85Ui8wRS82MFIzMEMxRzZNVkswRTlSLzExMTQ1YmQ1LmpwZWc, https://media.aiku.io/TxX0c_OJiGcaagLvPYfYADCEqaon41JoqOMTP_hVP5U/bG9jYWw6Ly9tZWRpYS85TS8wRS82MFIzMEMxRzZNVkswRTlNLzBmNjU3NTAwLmpwZWc, https://media.aiku.io/fCTYgBUJj5zRTSOAMruPZ0NKliPlcQqp1I0Q-L4DhDk/bG9jYWw6Ly9tZWRpYS85Sy8wRS82MFIzMEMxRzZNVkswRTlLLzk1YTQxMTM3LmpwZWc, https://media.aiku.io/s4mcQREZFofXT5lgsn6QmRnjuR-S01TMBP2Zfe_JWUk/bG9jYWw6Ly9tZWRpYS85Ti8wRS82MFIzMEMxRzZNVkswRTlOLzQ2YTdmZDVjLmpwZWc, https://media.aiku.io/gXVFccSP8XRAy8DnbKHILOLtb3qRWpypgosAK3fu06A/bG9jYWw6Ly9tZWRpYS9TUi8wRC82MFIzMEMxRzZNVkswRFNSLzRmNWYxMzhkLmpwZWc","2025-12-12 08:09:24+00","2025-12-12 08:09:24+00",,"2025-09-11 07:43:03+00",63
